hole,par,yards,averagescore
1,4,354,3.979
2,4,449,4.144
3,4,404,3.877
4,4,494,4.272
5,5,597,4.598
6,4,400,4.025
7,4,377,3.897
8,3,200,3.077
9,4,351,3.579
10,4,357,3.801
11,3,186,3.224
12,4,356,3.868
13,4,476,4.301
14,5,593,4.728
15,4,447,4.096
16,4,420,4.197
17,4,499,4.456
18,4,352,3.498
