hole,par,yards,averagescore
1,4,393,3.821
2,4,456,3.905
3,4,485,4.181
4,4,433,3.998
5,3,166,3.060
6,4,438,4.058
7,4,369,3.798
8,3,238,3.086
9,5,554,4.409
10,4,408,3.905
11,4,455,3.967
12,4,428,3.937
13,5,598,4.577
14,3,163,2.991
15,4,302,3.537
16,5,525,4.581
17,3,197,3.044
18,4,465,4.070
