hole,par,yards,averagescore
1,4,453,4.019
2,4,397,3.946
3,3,154,2.866
4,4,476,4.226
5,4,456,4.089
6,5,570,4.532
7,4,461,4.182
8,3,177,2.962
9,5,593,4.688
10,4,454,4.064
11,3,228,3.290
12,4,489,4.290
13,5,609,4.946
14,4,428,4.070
15,4,488,4.220
16,3,194,3.108
17,4,439,4.108
18,5,545,4.745
