,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Patrick Cantlay,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,4,3,3,4,3,4,4,3,3,4,4,4,5,3,5,4,4,4,4,3,3,4,4,4,4,2,4,4,4,5,4,2,3,3,4,5,3,4,3,5,3,4,4,3,5,4,5,3,5,3,4,3,4,3,4
1,Scott Stallings,4,3,5,4,5,4,2,3,3,5,3,5,4,4,3,3,4,4,4,2,5,3,4,3,3,4,3,4,4,5,3,5,4,4,4,4,3,3,4,4,4,4,2,3,4,5,4,4,3,4,3,4,4,4,4,3,4,4,5,3,3,4,4,4,3,5,4,4,3,4,4,4
2,Scottie Scheffler,4,4,5,3,4,3,2,6,4,3,4,4,2,5,4,3,4,4,3,2,4,4,4,3,4,4,4,4,4,5,3,4,3,4,4,4,4,3,4,3,4,4,3,3,4,3,4,5,3,5,3,5,5,3,5,3,5,4,4,5,3,3,4,4,4,5,2,4,3,3,4,5
3,Xander Schauffele,4,3,4,3,4,3,3,4,4,4,4,4,3,4,3,5,4,4,4,4,5,3,4,4,3,4,4,4,5,5,3,4,3,4,2,4,3,3,3,4,4,3,3,4,4,4,4,4,3,5,3,4,4,4,4,4,5,4,3,4,3,5,3,4,4,5,3,5,3,4,4,4
4,K.H. Lee,3,3,5,4,4,4,2,3,4,4,4,5,3,5,4,3,4,4,3,3,4,4,4,4,3,4,5,4,5,5,3,5,3,3,4,4,3,3,5,3,6,5,3,4,5,3,4,5,3,4,4,3,4,4,3,2,4,3,4,4,3,3,4,5,4,5,3,5,3,3,3,4
5,Corey Conners,4,4,5,4,4,3,2,4,4,4,4,5,3,4,2,4,4,4,4,3,5,3,4,3,3,4,3,3,4,5,3,5,3,5,4,3,4,3,5,4,4,4,3,4,4,3,4,5,2,4,4,4,4,5,5,4,5,3,3,4,3,4,4,3,4,5,4,6,2,3,4,3
6,Adam Scott,3,3,4,4,4,3,3,5,3,4,4,5,3,4,3,3,4,3,3,3,5,3,4,3,3,4,4,4,4,4,3,5,3,4,6,4,4,4,4,4,3,4,3,4,3,4,4,4,4,5,3,4,4,4,4,4,5,4,3,4,4,4,5,4,4,3,4,4,3,4,4,4
7,Jon Rahm,5,3,5,3,4,4,3,6,4,4,4,5,3,5,4,4,3,4,4,4,5,4,4,4,4,4,5,3,4,4,3,3,3,3,5,4,3,3,5,4,3,3,3,3,3,4,4,5,3,5,3,3,4,4,3,2,5,4,4,3,3,4,4,4,4,5,3,5,2,4,4,4
8,Rory McIlroy,3,3,4,4,3,4,2,4,4,4,4,5,2,4,6,4,4,4,4,4,4,4,4,3,3,3,4,4,4,5,3,6,2,4,4,3,5,4,5,4,4,3,3,4,5,4,4,4,2,5,3,3,3,5,4,3,5,4,5,4,3,4,4,4,4,5,3,5,3,3,3,3
9,Taylor Pendrith,4,3,5,3,4,5,2,4,5,4,3,5,3,6,2,4,5,4,5,2,4,4,4,5,4,4,3,4,2,5,3,5,3,4,3,4,3,3,5,4,4,4,3,4,3,4,3,5,3,4,3,4,3,5,3,3,5,4,4,4,4,3,4,4,5,4,3,3,4,4,4,4
10,Joaquin Niemann,3,4,5,4,3,4,3,4,4,5,3,5,3,5,3,4,4,3,4,3,4,4,3,3,3,5,3,4,4,5,3,5,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,5,3,4,3,4,4,4,5,3,5,4,4,3,2,4,4,4,5,5,3,4,3,4,4,4
