hole,par,yards,averagescore
1,4,398,3.910
2,4,422,3.922
3,5,580,4.519
4,3,174,2.943
5,5,604,4.748
6,4,483,4.059
7,3,210,3.028
8,4,384,3.974
9,4,407,3.939
10,3,220,3.083
11,5,536,4.601
12,4,445,4.002
13,3,152,2.835
14,5,572,4.649
15,4,316,3.642
16,4,451,4.163
17,4,424,3.816
18,4,486,4.038
