,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
19,Talor Gooch (SC),4,3,4,5,4,5,3,5,5,5,4,3,4,4,4,4,2,5,3,4,3,4,4,3,3,3,5,5,4,2,3,4,3,4,5,4,5,3,4,5,5,4,3,4,5,5,3,2,4,4,5,4,3,4,4,2,3,6,4,4,2,4,3,4,3,3,4,4,5,4,3,5
20,Scottie Scheffler (SC),5,4,3,5,3,4,3,3,5,3,3,3,4,4,5,5,3,5,3,4,4,4,4,3,5,3,4,4,3,3,4,4,4,3,4,4,4,4,2,4,4,4,4,3,5,4,3,4,5,4,4,3,4,5,4,3,3,4,4,4,4,3,4,4,3,5,6,4,5,3,4,4
21,Daniel Berger (SC),3,4,4,3,3,3,4,4,4,5,4,3,4,4,5,3,3,4,4,4,2,5,3,5,5,4,5,4,3,4,6,4,3,3,4,4,4,3,4,5,3,4,3,4,5,4,3,2,4,4,4,4,3,5,4,4,3,4,3,5,5,3,5,5,3,3,4,4,4,3,4,5
22,Cameron Young (SC),5,3,3,4,4,3,3,4,4,3,5,4,4,4,4,3,3,4,3,5,3,4,4,4,5,3,5,4,4,5,5,4,4,3,4,5,4,3,4,3,3,3,3,4,4,4,4,2,3,4,4,3,4,5,4,3,4,4,4,4,4,3,6,4,3,4,5,4,4,4,5,4
23,Justin Thomas (SC),3,4,2,4,4,4,3,2,5,4,3,4,5,5,4,4,4,4,4,3,3,3,4,3,3,4,4,4,3,3,4,4,3,3,3,5,4,5,2,3,4,5,5,3,4,4,3,4,5,4,5,3,5,5,3,4,3,5,4,4,4,4,5,5,3,3,5,5,4,4,4,5
24,Doc Redman (SC),4,3,4,5,4,4,4,5,5,4,4,2,5,4,5,5,2,5,4,3,3,4,4,4,3,2,5,4,3,3,3,4,3,3,4,4,4,4,2,5,4,6,4,3,5,4,3,5,4,3,4,3,4,5,4,3,2,4,4,4,4,3,4,4,4,5,5,5,4,3,4,4
25,Sahith Theegala (SC),4,3,3,4,4,3,4,3,4,4,4,3,5,4,3,4,3,5,4,4,2,4,4,4,5,2,5,3,3,4,5,4,4,3,4,4,4,4,2,4,5,3,4,3,4,4,3,5,6,5,4,4,4,5,5,4,3,3,3,4,4,4,4,5,3,4,5,4,4,3,4,5
26,Mito Pereira (SC),5,3,3,4,4,4,5,2,4,4,3,4,5,3,4,3,4,5,4,4,3,4,4,3,4,4,4,4,4,3,4,5,4,3,3,5,4,4,2,4,3,5,4,3,4,4,3,4,5,4,4,3,5,5,4,4,3,4,4,5,4,4,3,4,3,4,5,3,6,3,4,4
27,Peter Malnati (SC),4,4,3,3,4,4,4,3,5,3,3,4,4,4,4,2,4,5,5,4,3,3,4,3,4,5,3,4,4,2,4,4,4,3,3,4,4,4,3,4,3,6,5,3,6,4,3,4,5,4,4,3,4,4,5,3,3,4,5,4,4,3,5,6,3,4,5,4,5,2,4,4
28,Dustin Johnson (SC),3,4,3,4,4,4,4,2,4,4,3,5,5,4,3,3,4,5,5,4,2,4,3,3,5,4,4,3,4,3,4,4,5,4,3,5,4,5,2,5,3,5,4,3,4,3,3,4,4,6,3,3,4,4,4,4,3,5,4,4,4,3,5,4,3,4,5,3,5,3,4,6
29,Nick Taylor (SC),4,3,5,5,3,4,3,4,5,4,5,3,4,4,4,5,3,5,4,3,3,3,5,4,3,4,4,4,3,3,4,3,3,3,5,4,4,3,3,5,4,4,5,2,4,3,4,4,5,5,4,3,4,5,4,4,3,5,4,4,4,3,5,4,3,5,5,5,4,2,3,4
30,Hideki Matsuyama (SC),5,3,3,5,4,5,5,3,4,4,3,4,5,4,4,3,4,4,4,4,3,4,3,2,3,4,5,4,4,3,5,3,5,4,3,4,4,3,4,5,4,4,3,4,5,4,4,4,4,4,5,4,3,5,4,3,4,5,4,3,3,3,4,4,5,3,4,4,4,4,3,4
31,Lanto Griffin (SC),4,4,5,4,4,3,3,4,4,4,4,4,5,4,5,5,2,5,5,4,3,4,3,4,3,3,4,5,4,3,3,4,3,4,5,4,5,3,4,6,4,4,2,6,4,5,4,3,4,4,4,4,3,5,4,3,4,4,4,4,3,5,4,4,3,2,4,3,4,4,3,3
32,Maverick McNealy (SC),4,4,4,3,4,4,3,2,5,4,4,4,4,4,3,3,4,4,4,3,3,5,4,3,4,5,4,5,4,3,4,4,5,5,2,4,4,3,3,4,4,5,4,1,4,3,4,4,4,3,4,3,4,6,5,4,3,4,4,5,4,4,5,5,4,4,5,5,4,4,3,3
33,Doug Ghim (SC),5,4,3,3,4,3,4,4,3,4,4,3,3,5,4,4,2,4,4,4,3,4,4,4,4,2,5,4,3,4,5,4,4,3,6,6,5,4,4,5,4,4,4,3,4,4,3,5,5,3,3,3,4,4,4,4,3,3,3,5,4,3,5,5,4,4,5,3,4,3,5,4
34,J.J. Spaun (SC),5,3,3,4,4,4,5,3,5,4,4,5,6,3,4,3,4,4,4,4,3,5,3,2,4,4,4,3,4,3,4,4,4,3,3,5,5,3,4,5,3,4,3,4,4,3,4,4,5,4,5,4,2,5,3,4,2,4,4,4,4,3,4,3,4,4,5,5,5,4,5,4
35,Xander Schauffele (SC),5,4,3,4,3,2,3,4,4,4,4,4,4,4,4,4,3,5,5,4,3,5,4,5,4,2,5,3,3,4,5,4,4,3,4,5,4,3,4,5,4,5,3,4,6,3,3,2,4,3,4,4,3,5,4,4,3,5,3,5,3,3,4,5,3,4,4,3,5,4,5,5
36,Matthew NeSmith (SC),4,3,3,4,4,3,3,3,5,4,5,3,4,5,4,3,3,5,3,4,3,3,4,5,4,3,5,3,3,4,5,4,5,3,4,6,4,3,3,4,3,6,3,2,5,4,4,4,4,4,4,3,3,6,4,4,3,4,4,4,4,4,5,3,4,5,4,4,4,3,6,4
37,Greyson Sigg (SC),5,3,5,5,4,5,3,3,4,3,4,3,4,4,5,4,3,5,4,4,3,4,4,3,4,3,4,4,4,2,4,5,3,4,5,4,4,4,4,4,3,5,4,4,5,4,5,2,4,5,4,4,2,5,4,3,5,5,4,4,2,4,4,3,4,3,4,3,5,5,3,4
38,Alex Noren (SC),3,4,3,5,4,4,4,2,4,4,3,5,4,4,5,3,4,5,5,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,3,5,4,3,5,4,4,4,3,5,5,4,5,2,3,4,5,6,2,5,4,3,4,5,4,3,3,5,5
39,Kevin Streelman (SC),4,3,4,5,4,4,2,4,4,4,3,3,4,4,5,5,3,5,5,4,3,3,5,3,4,3,4,5,4,3,3,4,3,5,6,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,5,4,2,6,4,3,4,5,4,5,4,4,5,4,3,3,4,4,5,4,3,4
40,Gary Woodland (SC),4,4,3,4,4,4,6,2,5,4,3,4,5,4,4,3,4,5,4,3,3,4,4,3,3,5,4,4,4,3,4,5,4,3,3,5,3,5,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,5,3,4,4,4,4,7,4,3,4,4,4,4,5,4,5,2,4,4
41,Jhonattan Vegas (SC),4,4,2,4,5,4,4,3,4,4,3,4,5,5,5,2,4,5,4,3,3,3,4,3,4,4,4,5,4,3,4,5,4,4,4,4,4,3,4,5,4,5,3,4,4,4,4,4,4,3,5,4,3,4,4,4,4,4,4,4,6,3,5,4,3,2,4,4,5,4,3,4
42,Sebastián Muñoz (SC),5,4,3,4,3,4,5,3,5,3,4,5,5,4,5,3,4,5,4,3,2,5,4,2,4,3,3,4,4,3,5,5,4,3,3,4,4,3,3,4,4,3,4,3,6,4,3,4,4,4,4,3,5,5,3,4,2,4,4,5,3,4,6,3,4,5,6,4,5,3,4,4
43,Chad Ramey (SC),4,4,4,5,4,4,4,4,4,3,4,3,5,5,4,4,2,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,2,3,5,4,4,4,3,4,5,5,3,3,5,5,3,5,5,4,3,2,4,6,5,4,3,5,4,5,3,4,4,4,3,2,4,4,5,4,4,4
44,Bill Haas (SC),4,3,3,4,4,4,4,3,5,4,3,3,4,4,3,4,4,4,5,3,5,4,4,3,3,3,5,3,4,3,4,4,4,4,4,4,5,4,2,4,4,4,4,3,5,3,3,4,5,4,4,3,4,5,6,4,3,4,4,4,4,4,5,4,4,3,5,4,5,3,5,5
45,Patrick Reed (SC),3,5,3,4,4,4,5,3,5,4,3,4,5,4,4,3,4,5,5,3,3,4,4,3,4,5,4,3,4,3,4,4,3,3,3,4,4,4,3,4,4,5,4,3,5,4,3,3,5,4,4,4,5,4,4,5,4,5,4,4,4,3,5,3,3,4,5,4,5,2,4,5
46,Cameron Champ (SC),6,6,4,4,5,4,2,4,4,3,4,3,4,3,5,5,4,5,5,3,3,5,4,3,3,3,5,4,3,3,4,4,2,4,3,4,5,2,5,5,4,4,3,4,4,4,4,3,4,4,4,4,2,5,6,5,4,5,4,4,3,4,4,4,4,3,4,4,5,4,2,4
47,Christiaan Bezuidenhout (SC),4,4,3,5,5,2,3,4,4,5,4,3,4,4,4,3,3,5,4,4,3,4,3,3,4,2,5,4,3,4,4,4,4,4,5,5,4,4,3,5,4,4,4,3,5,4,3,4,6,3,4,3,4,5,5,3,4,4,3,4,4,4,5,4,4,3,4,4,5,4,4,5
48,Kevin Tway (SC),5,4,3,3,4,3,3,3,4,5,3,3,4,4,3,4,4,3,5,4,4,5,4,4,4,4,4,4,4,3,4,4,5,4,3,5,4,4,3,5,4,6,5,3,4,4,3,4,4,4,4,3,4,4,4,3,4,5,4,4,3,4,4,5,4,3,4,4,5,4,3,5
49,Jimmy Walker (SC),3,4,2,5,4,3,3,3,5,5,4,3,4,4,3,5,5,4,5,3,4,5,3,4,2,4,5,3,4,3,5,4,4,4,3,5,4,3,4,4,3,4,5,3,4,3,3,4,5,4,4,3,4,5,4,4,3,5,5,5,3,3,4,5,4,4,4,4,5,4,5,4
50,Martin Laird (SC),5,3,2,4,4,2,5,4,4,5,4,3,4,4,4,3,3,4,5,4,3,4,5,4,4,2,5,4,4,6,5,4,4,2,4,5,3,2,5,5,4,4,2,4,4,7,4,3,3,5,4,3,3,5,4,3,4,5,4,5,3,5,5,4,4,3,4,4,5,4,3,3
51,Hank Lebioda (SC),4,3,4,5,4,4,4,4,5,4,3,3,4,4,4,6,4,5,4,4,3,3,4,4,4,3,4,4,4,3,4,4,2,4,5,4,5,3,4,4,4,4,3,5,6,4,4,3,4,4,4,4,3,4,4,3,4,4,4,6,4,4,5,3,3,3,4,5,4,3,3,4
52,Anirban Lahiri (SC),4,4,4,4,5,4,4,3,4,5,4,2,3,4,4,3,6,4,4,3,3,5,4,4,3,4,5,4,4,3,4,3,5,4,3,5,4,4,3,4,4,4,3,4,5,4,3,3,5,5,4,5,3,5,3,3,4,4,4,4,3,4,4,4,5,3,4,4,5,5,3,4
53,Kevin Chappell (SC),4,4,2,4,5,5,4,3,5,4,3,5,4,5,4,3,4,5,5,5,3,4,4,3,4,5,4,3,3,3,3,5,3,4,3,4,4,3,4,5,4,4,3,4,5,4,4,3,6,4,4,4,3,5,5,3,4,4,4,5,4,3,4,4,4,2,5,4,4,3,3,4
54,Scott Stallings (SC),3,4,3,4,5,3,4,3,4,6,3,3,4,4,3,4,4,5,5,3,5,5,4,5,4,3,4,4,3,3,3,5,4,5,2,5,4,4,4,8,4,4,2,4,5,4,4,3,5,4,4,4,3,6,3,3,3,5,4,5,3,3,5,3,4,2,4,3,4,4,3,5
55,Cam Davis (SC),4,4,3,4,4,4,3,3,3,4,4,3,5,3,2,4,7,4,4,4,4,5,4,5,3,3,4,3,5,3,4,4,5,4,3,5,4,2,3,6,4,4,3,4,5,5,5,2,4,3,5,4,3,5,5,3,4,5,4,4,3,3,4,4,4,3,5,5,4,6,3,4
56,Robert Streb (SC),5,4,3,4,4,3,3,2,5,5,4,3,4,4,3,4,4,3,4,5,4,5,4,5,2,3,5,4,4,3,5,4,4,4,3,5,4,3,4,3,4,4,4,4,3,4,3,3,4,4,5,4,3,5,4,3,3,4,5,5,4,3,6,4,4,5,5,5,4,3,4,5
57,Alex Smalley (SC),4,5,2,4,5,5,4,3,5,4,3,4,6,3,4,3,4,5,4,3,3,4,4,3,3,3,4,4,3,3,3,5,3,3,2,5,5,4,3,6,4,5,4,3,4,4,3,4,6,5,5,2,4,5,4,3,4,4,4,6,5,4,5,4,3,3,3,5,5,4,3,4
58,Wyndham Clark (SC),4,3,5,5,5,4,3,4,5,3,4,2,4,4,4,4,2,4,4,4,3,4,5,4,4,3,5,5,3,3,5,4,3,3,5,5,5,4,4,4,4,4,3,3,5,5,4,3,3,5,4,4,3,5,3,3,4,5,5,4,4,5,4,4,4,3,4,4,4,3,3,5
59,Adam Schenk (SC),3,3,4,5,3,4,4,4,6,3,3,3,3,5,5,4,3,4,4,4,3,3,4,3,3,2,4,4,3,3,4,4,3,3,4,4,4,5,4,4,4,4,4,4,5,4,4,5,5,4,4,3,4,4,4,4,3,5,5,4,5,3,5,5,3,4,4,4,5,3,5,7
60,David Lipsky (SC),5,4,3,5,3,2,4,4,4,4,5,3,4,4,3,4,2,5,4,5,4,4,4,5,4,3,4,4,2,4,5,4,5,3,4,5,5,2,5,4,4,4,3,4,4,4,5,3,4,4,5,5,3,6,4,3,4,5,4,5,3,4,3,4,4,2,3,4,5,5,2,5
61,Patrick Rodgers (SC),4,4,3,3,4,2,4,5,5,5,4,4,4,5,4,3,4,4,5,4,3,4,4,4,4,3,3,4,3,3,5,4,4,3,4,5,4,3,4,5,6,3,2,4,6,4,5,2,3,5,4,4,3,4,4,3,4,4,4,5,3,4,6,5,5,3,4,4,5,3,3,5
62,Francesco Molinari (SC),5,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,2,4,4,4,2,4,3,4,6,3,5,4,4,4,5,4,3,3,4,6,4,4,2,3,4,5,4,4,5,4,3,5,5,4,4,5,4,4,4,3,5,5,3,5,3,4,7,4,3,2,4,4,6,4,3,5
63,Matthew Wolff (SC),4,3,4,5,4,4,3,5,5,3,5,2,5,4,5,4,2,4,4,5,3,4,4,4,3,3,5,4,5,3,4,4,3,3,5,4,3,4,4,4,4,4,3,3,5,5,4,3,4,4,5,4,3,5,4,3,4,7,3,4,4,4,4,4,4,3,6,3,5,4,3,5
64,Keegan Bradley (SC),4,3,4,4,5,4,3,4,5,4,3,3,5,4,5,3,3,4,4,5,4,4,4,3,3,2,5,5,3,4,4,4,3,4,5,4,4,3,4,6,4,4,3,5,5,4,3,3,5,4,4,3,2,5,4,3,4,5,5,4,4,4,5,5,4,4,4,4,4,5,3,5
65,Adam Long (SC),4,4,3,4,4,5,3,3,5,4,3,4,6,5,4,4,3,4,5,3,3,5,4,3,3,4,3,4,5,3,5,4,3,4,3,5,4,3,4,6,4,4,3,4,4,4,4,4,4,4,6,3,3,5,4,3,5,6,3,4,3,4,4,4,3,3,6,4,5,4,3,5
66,Joseph Bramlett (SC),4,3,5,5,5,5,3,3,4,5,4,2,5,4,4,4,3,5,4,3,3,4,4,4,3,4,5,4,4,3,4,3,2,4,4,4,4,5,2,4,5,4,4,3,6,4,3,4,4,3,5,3,4,4,5,5,5,4,5,4,4,2,5,4,4,4,6,4,5,3,4,5
67,Camilo Villegas (SC),5,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,3,6,3,4,2,4,4,5,4,3,4,4,3,3,6,5,3,3,4,5,6,3,3,4,4,4,3,4,5,5,3,2,5,4,4,5,3,6,5,3,5,5,5,5,4,4,6,4,3,3,4,4,4,4,4,4
68,Curtis Thompson (SC),3,4,4,4,5,5,3,3,4,5,3,4,5,4,3,3,4,4,4,3,4,6,4,4,5,4,4,3,4,3,4,4,4,4,2,5,3,3,5,6,4,4,3,5,5,4,3,3,4,4,4,5,2,5,5,5,4,4,5,4,2,4,5,5,4,4,4,4,5,4,3,4
69,Rory Sabbatini (SC),4,3,3,5,4,4,4,3,5,3,3,5,4,4,5,3,4,5,4,4,3,4,4,3,3,4,5,5,4,3,4,4,4,3,3,4,4,4,3,4,4,5,4,5,4,3,4,5,6,3,4,3,3,5,4,5,4,5,4,5,3,4,5,4,4,3,6,4,4,5,3,5
70,Chez Reavie (SC),4,3,5,5,4,4,3,3,6,3,5,2,4,4,4,4,3,4,3,4,3,5,4,4,4,2,4,5,3,3,6,4,3,3,5,5,4,3,6,5,4,4,3,4,5,4,4,2,4,4,5,5,2,5,4,4,4,5,5,5,3,5,5,4,4,3,4,4,5,4,3,5
